Q,A
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE, 
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE ,collect
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect,.
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.,getUserId
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId,(
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId(,)
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId(),)
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()), 
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) ,==
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) ==, 
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) == ,1
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) == 1,)
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) == 1), 
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) == 1) ,{
if (collectService.queryNewsCollectCnt(collect.getNewsId()@COMMA_CHAR_REPLACE collect.getUserId()) == 1) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,"该新闻已收藏!"
return AjaxResult.error("该新闻已收藏!",)
return AjaxResult.error("该新闻已收藏!"),;
return AjaxResult.error("该新闻已收藏!");,PARAM_END
return ,toAjax
return toAjax,(
return toAjax(,collectService
return toAjax(collectService,.
return toAjax(collectService.,addCollect
return toAjax(collectService.addCollect,(
return toAjax(collectService.addCollect(,collect
return toAjax(collectService.addCollect(collect,)
return toAjax(collectService.addCollect(collect),)
return toAjax(collectService.addCollect(collect)),;
return toAjax(collectService.addCollect(collect));,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('news:table:list')"
@PreAuthorize("@ss.hasPermi('news:table:list')",)
@PreAuthorize("@ss.hasPermi('news:table:list')"),PARAM_END
@Log,(
@Log(,title
@Log(title, 
@Log(title ,=
@Log(title =, 
@Log(title = ,"删除收藏"
@Log(title = "删除收藏",@COMMA_CHAR_REPLACE
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE, 
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE ,businessType
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType, 
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType ,=
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType =, 
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType = ,BusinessType
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType = BusinessType,.
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType = BusinessType.,DELETE
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType = BusinessType.DELETE,)
@Log(title = "删除收藏"@COMMA_CHAR_REPLACE businessType = BusinessType.DELETE),PARAM_END
@DeleteMapping,(
@DeleteMapping(,"/{collectId}"
@DeleteMapping("/{collectId}",)
@DeleteMapping("/{collectId}"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,delCollect
public AjaxResult delCollect,(
public AjaxResult delCollect(,@
public AjaxResult delCollect(@,PathVariable
public AjaxResult delCollect(@PathVariable, 
public AjaxResult delCollect(@PathVariable ,String
public AjaxResult delCollect(@PathVariable String, 
public AjaxResult delCollect(@PathVariable String ,collectId
public AjaxResult delCollect(@PathVariable String collectId,)
public AjaxResult delCollect(@PathVariable String collectId), 
public AjaxResult delCollect(@PathVariable String collectId) ,{
public AjaxResult delCollect(@PathVariable String collectId) {,PARAM_END
return ,toAjax
return toAjax,(
return toAjax(,collectService
return toAjax(collectService,.
return toAjax(collectService.,deleteCollectById
return toAjax(collectService.deleteCollectById,(
return toAjax(collectService.deleteCollectById(,collectId
return toAjax(collectService.deleteCollectById(collectId,)
return toAjax(collectService.deleteCollectById(collectId),)
return toAjax(collectService.deleteCollectById(collectId)),;
return toAjax(collectService.deleteCollectById(collectId));,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,controller
import com.sltg.common.core.controller,.
import com.sltg.common.core.controller.,BaseController
import com.sltg.common.core.controller.BaseController,;
import com.sltg.common.core.controller.BaseController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,entity
import com.sltg.common.core.domain.entity,.
import com.sltg.common.core.domain.entity.,SysNewsComment
import com.sltg.common.core.domain.entity.SysNewsComment,;
import com.sltg.common.core.domain.entity.SysNewsComment;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,page
import com.sltg.common.core.page,.
import com.sltg.common.core.page.,TableDataInfo
import com.sltg.common.core.page.TableDataInfo,;
import com.sltg.common.core.page.TableDataInfo;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysNewsCommentService
import com.sltg.system.service.SysNewsCommentService,;
import com.sltg.system.service.SysNewsCommentService;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,security
import org.springframework.security,.
import org.springframework.security.,access
import org.springframework.security.access,.
import org.springframework.security.access.,prepost
import org.springframework.security.access.prepost,.
import org.springframework.security.access.prepost.,PreAuthorize
import org.springframework.security.access.prepost.PreAuthorize,;
import org.springframework.security.access.prepost.PreAuthorize;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestMapping
import org.springframework.web.bind.annotation.RequestMapping,;
import org.springframework.web.bind.annotation.RequestMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import java.,util
import java.util,.
import java.util.,List
import java.util.List,;
import java.util.List;,PARAM_END
@RequestMapping,(
@RequestMapping(,"/news/comment"
@RequestMapping("/news/comment",)
@RequestMapping("/news/comment"),PARAM_END
public ,class
public class, 
public class ,SysNewsCommentController
public class SysNewsCommentController, 
public class SysNewsCommentController ,extends
public class SysNewsCommentController extends, 
public class SysNewsCommentController extends ,BaseController
public class SysNewsCommentController extends BaseController, 
public class SysNewsCommentController extends BaseController ,{
public class SysNewsCommentController extends BaseController {,PARAM_END
private ,SysNewsCommentService
private SysNewsCommentService, 
private SysNewsCommentService ,commentService
private SysNewsCommentService commentService,;
private SysNewsCommentService commentService;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('news:table:list')"
@PreAuthorize("@ss.hasPermi('news:table:list')",)
@PreAuthorize("@ss.hasPermi('news:table:list')"),PARAM_END
@GetMapping,(
@GetMapping(,"/list"
@GetMapping("/list",)
@GetMapping("/list"),PARAM_END
public ,TableDataInfo
public TableDataInfo, 
public TableDataInfo ,newsList
public TableDataInfo newsList,(
public TableDataInfo newsList(,SysNewsComment
public TableDataInfo newsList(SysNewsComment, 
public TableDataInfo newsList(SysNewsComment ,comment
public TableDataInfo newsList(SysNewsComment comment,)
public TableDataInfo newsList(SysNewsComment comment), 
public TableDataInfo newsList(SysNewsComment comment) ,{
public TableDataInfo newsList(SysNewsComment comment) {,PARAM_END
startPage(,)
startPage(),;
startPage();,PARAM_END
List<,SysNewsComment
List<SysNewsComment,>
List<SysNewsComment>, 
List<SysNewsComment> ,list
List<SysNewsComment> list, 
List<SysNewsComment> list ,=
List<SysNewsComment> list =, 
List<SysNewsComment> list = ,commentService
List<SysNewsComment> list = commentService,.
List<SysNewsComment> list = commentService.,queryNewsCommentInfo
List<SysNewsComment> list = commentService.queryNewsCommentInfo,(
List<SysNewsComment> list = commentService.queryNewsCommentInfo(,comment
List<SysNewsComment> list = commentService.queryNewsCommentInfo(comment,)
List<SysNewsComment> list = commentService.queryNewsCommentInfo(comment),;
List<SysNewsComment> list = commentService.queryNewsCommentInfo(comment);,PARAM_END
return ,getDataTable
return getDataTable,(
return getDataTable(,list
return getDataTable(list,)
return getDataTable(list),;
return getDataTable(list);,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,controller
import com.sltg.common.core.controller,.
import com.sltg.common.core.controller.,BaseController
import com.sltg.common.core.controller.BaseController,;
import com.sltg.common.core.controller.BaseController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,entity
import com.sltg.common.core.domain.entity,.
import com.sltg.common.core.domain.entity.,SysNews
import com.sltg.common.core.domain.entity.SysNews,;
import com.sltg.common.core.domain.entity.SysNews;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,model
import com.sltg.common.core.domain.model,.
import com.sltg.common.core.domain.model.,LoginUser
import com.sltg.common.core.domain.model.LoginUser,;
import com.sltg.common.core.domain.model.LoginUser;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,page
import com.sltg.common.core.page,.
import com.sltg.common.core.page.,TableDataInfo
import com.sltg.common.core.page.TableDataInfo,;
import com.sltg.common.core.page.TableDataInfo;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,ServletUtils
import com.sltg.common.utils.ServletUtils,;
import com.sltg.common.utils.ServletUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,framework
import com.sltg.framework,.
import com.sltg.framework.,web
import com.sltg.framework.web,.
import com.sltg.framework.web.,service
import com.sltg.framework.web.service,.
import com.sltg.framework.web.service.,TokenService
import com.sltg.framework.web.service.TokenService,;
import com.sltg.framework.web.service.TokenService;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysNewsService
import com.sltg.system.service.SysNewsService,;
import com.sltg.system.service.SysNewsService;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,security
import org.springframework.security,.
import org.springframework.security.,access
import org.springframework.security.access,.
import org.springframework.security.access.,prepost
import org.springframework.security.access.prepost,.
import org.springframework.security.access.prepost.,PreAuthorize
import org.springframework.security.access.prepost.PreAuthorize,;
import org.springframework.security.access.prepost.PreAuthorize;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PathVariable
import org.springframework.web.bind.annotation.PathVariable,;
import org.springframework.web.bind.annotation.PathVariable;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestMapping
import org.springframework.web.bind.annotation.RequestMapping,;
import org.springframework.web.bind.annotation.RequestMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import java.,util
import java.util,.
import java.util.,List
import java.util.List,;
import java.util.List;,PARAM_END
@RequestMapping,(
@RequestMapping(,"/system/news"
@RequestMapping("/system/news",)
@RequestMapping("/system/news"),PARAM_END
public ,class
public class, 
public class ,SysNewsController
public class SysNewsController, 
public class SysNewsController ,extends
public class SysNewsController extends, 
public class SysNewsController extends ,BaseController
public class SysNewsController extends BaseController, 
public class SysNewsController extends BaseController ,{
public class SysNewsController extends BaseController {,PARAM_END
private ,SysNewsService
private SysNewsService, 
private SysNewsService ,newsService
private SysNewsService newsService,;
private SysNewsService newsService;,PARAM_END
private ,TokenService
private TokenService, 
private TokenService ,tokenService
private TokenService tokenService,;
private TokenService tokenService;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('news:table:list')"
@PreAuthorize("@ss.hasPermi('news:table:list')",)
@PreAuthorize("@ss.hasPermi('news:table:list')"),PARAM_END
@GetMapping,(
@GetMapping(,"/list"
@GetMapping("/list",)
@GetMapping("/list"),PARAM_END
public ,TableDataInfo
public TableDataInfo, 
public TableDataInfo ,newsList
public TableDataInfo newsList,(
public TableDataInfo newsList(,SysNews
public TableDataInfo newsList(SysNews, 
public TableDataInfo newsList(SysNews ,news
public TableDataInfo newsList(SysNews news,)
public TableDataInfo newsList(SysNews news), 
public TableDataInfo newsList(SysNews news) ,{
public TableDataInfo newsList(SysNews news) {,PARAM_END
startPage(,)
startPage(),;
startPage();,PARAM_END
List<,SysNews
List<SysNews,>
List<SysNews>, 
List<SysNews> ,list
List<SysNews> list, 
List<SysNews> list ,=
List<SysNews> list =, 
List<SysNews> list = ,newsService
List<SysNews> list = newsService,.
List<SysNews> list = newsService.,selectNewsList
List<SysNews> list = newsService.selectNewsList,(
List<SysNews> list = newsService.selectNewsList(,news
List<SysNews> list = newsService.selectNewsList(news,)
List<SysNews> list = newsService.selectNewsList(news),;
List<SysNews> list = newsService.selectNewsList(news);,PARAM_END
return ,getDataTable
return getDataTable,(
return getDataTable(,list
return getDataTable(list,)
return getDataTable(list),;
return getDataTable(list);,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('news:table:list')"
@PreAuthorize("@ss.hasPermi('news:table:list')",)
@PreAuthorize("@ss.hasPermi('news:table:list')"),PARAM_END
@GetMapping,(
@GetMapping(,value
@GetMapping(value, 
@GetMapping(value ,=
@GetMapping(value =, 
@GetMapping(value = ,"/detail/{newsId}"
@GetMapping(value = "/detail/{newsId}",)
@GetMapping(value = "/detail/{newsId}"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,getNewsInfo
public AjaxResult getNewsInfo,(
public AjaxResult getNewsInfo(,@
public AjaxResult getNewsInfo(@,PathVariable
public AjaxResult getNewsInfo(@PathVariable,(
public AjaxResult getNewsInfo(@PathVariable(,value
public AjaxResult getNewsInfo(@PathVariable(value, 
public AjaxResult getNewsInfo(@PathVariable(value ,=
public AjaxResult getNewsInfo(@PathVariable(value =, 
public AjaxResult getNewsInfo(@PathVariable(value = ,"newsId"
public AjaxResult getNewsInfo(@PathVariable(value = "newsId",@COMMA_CHAR_REPLACE
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE, 
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE ,required
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required, 
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required ,=
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required =, 
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = ,false
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false,)
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false), 
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) ,String
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) String, 
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) String ,newsId
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) String newsId,)
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) String newsId), 
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) String newsId) ,{
public AjaxResult getNewsInfo(@PathVariable(value = "newsId"@COMMA_CHAR_REPLACE required = false) String newsId) {,PARAM_END
LoginUser ,loginUser
LoginUser loginUser, 
LoginUser loginUser ,=
LoginUser loginUser =, 
LoginUser loginUser = ,tokenService
LoginUser loginUser = tokenService,.
LoginUser loginUser = tokenService.,getLoginUser
LoginUser loginUser = tokenService.getLoginUser,(
LoginUser loginUser = tokenService.getLoginUser(,ServletUtils
LoginUser loginUser = tokenService.getLoginUser(ServletUtils,.
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.,getRequest
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest,(
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(,)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest(),)
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest()),;
LoginUser loginUser = tokenService.getLoginUser(ServletUtils.getRequest());,PARAM_END
Long ,userId
Long userId, 
Long userId ,=
Long userId =, 
Long userId = ,loginUser
Long userId = loginUser,.
Long userId = loginUser.,getUser
Long userId = loginUser.getUser,(
Long userId = loginUser.getUser(,)
Long userId = loginUser.getUser(),.
Long userId = loginUser.getUser().,getUserId
Long userId = loginUser.getUser().getUserId,(
Long userId = loginUser.getUser().getUserId(,)
Long userId = loginUser.getUser().getUserId(),;
Long userId = loginUser.getUser().getUserId();,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,AjaxResult
ajax.put(AjaxResult,.
ajax.put(AjaxResult.,DATA_TAG
ajax.put(AjaxResult.DATA_TAG,@COMMA_CHAR_REPLACE
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE, 
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE ,newsService
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService,.
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.,queryNewsById
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById,(
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(,newsId
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId,@COMMA_CHAR_REPLACE
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId@COMMA_CHAR_REPLACE, 
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId@COMMA_CHAR_REPLACE ,userId
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId@COMMA_CHAR_REPLACE userId,)
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId@COMMA_CHAR_REPLACE userId),)
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId@COMMA_CHAR_REPLACE userId)),;
ajax.put(AjaxResult.DATA_TAG@COMMA_CHAR_REPLACE newsService.queryNewsById(newsId@COMMA_CHAR_REPLACE userId));,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,annotation
import com.sltg.common.annotation,.
import com.sltg.common.annotation.,Log
import com.sltg.common.annotation.Log,;
import com.sltg.common.annotation.Log;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,config
import com.sltg.common.config,.
import com.sltg.common.config.,SltgSysConfig
import com.sltg.common.config.SltgSysConfig,;
import com.sltg.common.config.SltgSysConfig;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,constant
import com.sltg.common.constant,.
import com.sltg.common.constant.,Constants
import com.sltg.common.constant.Constants,;
import com.sltg.common.constant.Constants;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,controller
import com.sltg.common.core.controller,.
import com.sltg.common.core.controller.,BaseController
import com.sltg.common.core.controller.BaseController,;
import com.sltg.common.core.controller.BaseController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,entity
import com.sltg.common.core.domain.entity,.
import com.sltg.common.core.domain.entity.,UserNews
import com.sltg.common.core.domain.entity.UserNews,;
import com.sltg.common.core.domain.entity.UserNews;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,model
import com.sltg.common.core.domain.model,.
import com.sltg.common.core.domain.model.,LoginUser
import com.sltg.common.core.domain.model.LoginUser,;
import com.sltg.common.core.domain.model.LoginUser;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,page
import com.sltg.common.core.page,.
import com.sltg.common.core.page.,TableDataInfo
import com.sltg.common.core.page.TableDataInfo,;
import com.sltg.common.core.page.TableDataInfo;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,enums
import com.sltg.common.enums,.
import com.sltg.common.enums.,BusinessType
import com.sltg.common.enums.BusinessType,;
import com.sltg.common.enums.BusinessType;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,SecurityUtils
import com.sltg.common.utils.SecurityUtils,;
import com.sltg.common.utils.SecurityUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,ServletUtils
import com.sltg.common.utils.ServletUtils,;
import com.sltg.common.utils.ServletUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,file
import com.sltg.common.utils.file,.
import com.sltg.common.utils.file.,FileUtils
import com.sltg.common.utils.file.FileUtils,;
import com.sltg.common.utils.file.FileUtils;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,poi
import com.sltg.common.utils.poi,.
import com.sltg.common.utils.poi.,ExcelUtil
import com.sltg.common.utils.poi.ExcelUtil,;
import com.sltg.common.utils.poi.ExcelUtil;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,framework
import com.sltg.framework,.
import com.sltg.framework.,web
import com.sltg.framework.web,.
import com.sltg.framework.web.,service
import com.sltg.framework.web.service,.
import com.sltg.framework.web.service.,TokenService
import com.sltg.framework.web.service.TokenService,;
import com.sltg.framework.web.service.TokenService;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,UserNewsService
import com.sltg.system.service.UserNewsService,;
import com.sltg.system.service.UserNewsService;,PARAM_END
import org.,slf4j
import org.slf4j,.
import org.slf4j.,Logger
import org.slf4j.Logger,;
import org.slf4j.Logger;,PARAM_END
import org.,slf4j
import org.slf4j,.
import org.slf4j.,LoggerFactory
import org.slf4j.LoggerFactory,;
import org.slf4j.LoggerFactory;,PARAM_END
